source_id,specimen_id,load_step,rotation_rad,measured_response_as_published,predicted_response_as_published,data_provenance
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,8,0.00308743,12.62350000,13.10030000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,9,0.00349908,13.28900000,13.28900000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,10,0.00391074,13.59800000,13.36200000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,11,0.00432240,13.43500000,13.43500000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,12,0.00473405,13.87900000,14.00570000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,13,0.00514571,14.57640000,14.57640000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC06,14,0.00555737,14.48475000,14.57640000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,1,0.00025013,12.87980000,12.87980000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,2,0.00075040,12.99085000,13.08315000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,3,0.00125066,13.28650000,13.28650000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,4,0.00175092,12.40930000,13.49855000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,5,0.00225119,13.71060000,13.71060000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,6,0.00275145,12.32110000,13.69855000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,7,0.00325171,13.68650000,13.68650000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,8,0.00375198,13.21355000,13.76525000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,9,0.00425224,13.84400000,13.84400000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,10,0.00475250,14.34580000,14.22542500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,11,0.00525277,14.60685000,14.60685000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC08,12,0.00575303,14.74180000,14.60685000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,1,0.00025803,14.93020000,14.93020000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,2,0.00077409,15.16980000,14.75927500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,3,0.00129015,14.58835000,14.58835000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,4,0.00180621,14.24890000,14.51107500,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,5,0.00232227,14.43380000,14.43380000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,6,0.00283833,13.55400000,15.82765000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,7,0.00335439,17.22150000,17.22150000,processed from DesignSafe raw sac2rc*.txt cyclic response files
DESIGNSAFE_NEES_2005_0101_EXP5,SAC2RC10,8,0.00387045,16.30820000,17.22150000,processed from DesignSafe raw sac2rc*.txt cyclic response files


